"artist_id","name","country","city","dob"
5870,"Blur","Chile","El Tabo","1993-06-27"
5871,"OneRepublic","Spain","Pontevedra","1997-10-19"
5872,"Dua Lipa","Indonesia","Dampol","1992-07-14"
5873,"Phoenix","Chile","Bulnes","2005-01-29"
5874,"Nickelback","Japan","Gob","1990-06-15"
5875,"Taylor Swift","Philippines","Bilaran","1994-04-27"
5876,"Gorillaz","Greece","Makrych—ri","1996-08-14"
5877,"Rise Against","Belarus","ZelХva","1991-06-07"
5878,"The Verve","Indonesia","Cibunar","2000-12-03"
5879,"The Prodigy","United States","Aurora","2001-04-01"
5880,"The Killers","China","Jingzhou","1992-04-03"
5881,"The Wanted","China","Xumu","2000-08-21"
5882,"The Strokes","Zimbabwe","Chinhoyi","2003-10-11"
5883,"BeyoncЋ","China","Zhuangbian","1999-02-28"
5884,"Elvis Presley","Kazakhstan","Kokshetau","1990-12-06"
5885,"Vampire Weekend","China","Shimen","1997-03-05"
5886,"The Notorious B.I.G.","Indonesia","Taraju","2004-05-10"
5888,"Jack Johnson","China","Xiashixiang","1995-12-12"
5889,"Lizzo","China","Qianwei","2004-04-01"
5890,"Creedence Clearwater Revival","Peru","Lacabamba","1999-06-19"
5891,"Sum 41","China","Jijiang","1994-10-24"
5892,"3 Doors Down","Indonesia","Tebon","2004-04-15"
5893,"Mark Anthony","China","Situ","2005-02-20"
5894,"50 Cent","Mexico","Tierra y Libertad","2001-02-24"
5895,"The Game","Indonesia","Karangpocok","2004-11-27"
5896,"P!nk","Germany","Berlin","2004-08-31"
5897,"Pearl Jam","China","Dushu","2002-10-10"
5898,"Nine Inch Nails","Peru","Aguas Verdes","2003-04-16"
5899,"The Rolling Stones","Japan","Katsuura","1993-12-02"
5900,"Jay-Z","Sweden","Kristianstad","2001-03-26"
5901,"The Black Keys","Ireland","Foxrock","1992-06-15"
5902,"The Smiths","Brazil","Riachao do Jacu’pe","1995-05-25"
5903,"Norah Jones","China","Taozhuang","1990-04-19"
5904,"Enrique Iglesias","Pakistan","Bat Khela","2001-04-14"
5905,"Paramore","Czech Republic","Lede nad Sazavou","2001-06-09"
5906,"Kaiser Chiefs","Poland","Bralin","1999-01-23"
5907,"One Direction","Madagascar","Maintirano","2004-09-26"
5908,"Pitbull","China","Longcheng","1996-05-04"
5909,"Wiz Khalifa","Russia","Yelizavetinskaya","1999-10-30"
5910,"Sia","China","Hushan","1995-02-13"
5911,"John Lennon","Norway","Trondheim","1994-08-24"
5912,"A.R Rehman","Indonesia","Ciangir","2004-08-22"
5913,"The Kinks","Portugal","Campinho","1998-06-15"
5914,"U2","Czech Republic","Ro_mit‡l pod T_em_’nem","1995-08-13"
5915,"Justin Bieber","Russia","Pikalevo","1997-06-14"
5916,"Johnny Cash","Bulgaria","Gotse Delchev","1989-12-22"
5917,"Christina Aguilera","Philippines","Burgos","2005-03-22"
5918,"The Fray","Thailand","Ban Takhun","1994-08-20"
5919,"Black Eyed Peas","Indonesia","Pericik","2000-04-05"
5920,"Samantha ","Indonesia","Krajan Pangkah Kulon","1995-08-21"
5921,"Rachel Wright","Poland","Bierawa","2001-02-15"
5922,"Bad Boy","China","Liulin","2003-03-09"
5923,"Steven Tyler","Luxembourg","Boulaide","1997-03-14"
5937,"Ed Sheeran","Ghana","Wa","2001-11-09"
5938,"The Weeknd","Ethiopia","Jinka","1995-01-01"
5939,"Farina","Colombia","Armenia","2005-07-23"
5940,"Ann Marie","Poland","Golina","1991-03-29"
5941,"Flo Rida","Luxembourg","Saeul","2003-06-25"
5942,"Zayn Malik","France","Bordeaux","1995-06-08"
5943,"Olly Murs","Brazil","Andradina","1995-07-10"
5944,"Tyga","China","Taishanmiao","2002-11-14"
5945,"1975","Iran","Gvband","1990-07-29"
5946,"Jason Derulo","Venezuela","Chaguaramas","2003-08-26"
